"","sampleID","Age","Sex","BCS","Antibiotics","Glucocorticoids","Cobalamin","Folate","fPLI","fTLI","Group","SubGroup","NonGI_COMORBID","GI_COMORBID_HISTO","3-indoleacetic acid","3-indolepropionic acid","Indole acetamide","Indole acrylate","indole-3-lactic acid","Indole-3-pyruvate","Indole-carboxyaldehyde","Kynurenine","Kynurenic acid","Serotonin","Tryptamine","Trp"
"sam_32","sam_32",7,"FS",5,"NO","NO",1000,13.3,2,24.1,"HC","HC","",NA,221.5,47.8,1.5,829,282.4,1172.2,37.2,722.8,6.1,411.9,"2.8",15692.8
"sam_33","sam_33",9,"MC",7,"NO","NO",1000,16.8,4.9,43.9,"HC","HC","",NA,701.7,45.2,1.6,996.5,274.3,1206.3,47.7,822.6,6.9,1998.7,"5.4",19652
"sam_34","sam_34",8,"FS",5,"NO","NO",1000,11,3,29.9,"HC","HC","",NA,300.9,68.3,2,1003.3,382.1,1225,45.7,584.9,5,293.9,"2.6",19346
"sam_35","sam_35",8,"FS",8,"NO","NO",883,15.3,2.9,34.6,"HC","HC","",NA,186.1,36.6,1.4,1015.2,220.1,1192.4,45.1,861.6,7.7,1344.8,"4.2",19119.3
"sam_36","sam_36",14,"MC",6,"NO","NO",910,7.39,3.2,33.3,"HC","HC","",NA,352.8,91.2,1.4,947.3,215.4,1204.8,41.2,896.6,14,839,"3.5",17493.4
"sam_37","sam_37",9,"FS",6,"NO","NO",1000,11.2,2,49.1,"HC","HC","",NA,139.7,56,1.8,885.4,151.8,1178,39.1,753.6,5.8,422,"3",16807.7
"sam_38","sam_38",9,"FS",6,"NO","NO",1000,25.4,1.9,31.3,"HC","HC","",NA,95.5,17.5,1.4,705.4,186.8,1173.3,30.3,1018.9,7.2,572.6,"3.1",12992
"sam_39","sam_39",11,"MC",6,"NO","NO",1000,30.7,3.5,53,"HC","HC","",NA,225.2,46.3,1.3,571.4,121.5,1195.7,23.3,656.3,8.7,884.7,"3.5",10540.4
"sam_40","sam_40",8,"MC",6,"NO","NO",1000,16.3,3.2,26.8,"HC","HC","",NA,251,59.6,1.4,879.1,383.1,1252.6,40.9,1752.2,18.1,1329.7,"4.2",17315
"sam_41","sam_41",10,"MC",9,"NO","NO",1000,20.7,1.8,37.8,"HC","HC","",NA,132.3,46.7,1.4,850.9,427.9,1227.3,38.7,1944,22.7,747,"3.5",16053.4
